fastId	X	Y
855	-3128.414	-2494.334
856	-3162.424	-2482.998
857	-3699.075	-2445.324
858	-3734.860	-2439.466
859	-3768.640	-2426.409
860	-3678.351	-2341.169
861	-3715.466	-2337.894
862	-3752.789	-2337.027
863	-3060.066	-2394.682
864	-3096.013	-2394.074
865	-3131.231	-2401.151
866	-3069.239	-2355.649
867	-3103.651	-2344.404
868	-3639.013	-2306.568
869	-3673.749	-2301.649
870	-3706.745	-2289.794
871	-3683.085	-2207.802
872	-3647.795	-2203.095
873	-3612.201	-2205.208
874	-3221.265	-2239.794
875	-3186.590	-2247.699
876	-3069.620	-2257.919
877	-3187.724	-2088.660
878	-3152.364	-2091.694
879	-3116.996	-2089.861
880	-3576.737	-2055.635
881	-3541.275	-2057.494
882	-3505.919	-2060.612
883	-3751.623	-1800.754
884	-3723.223	-1803.261
885	-3695.061	-1807.517
886	-3668.044	-1816.524
887	-3416.137	-1829.788
888	-3386.248	-1832.422
889	-3356.359	-1835.055
890	-3117.252	-1856.107
891	-3087.450	-1859.459
892	-3058.597	-1867.552
893	-3025.658	-1819.781
894	-3054.968	-1821.712
895	-3084.292	-1819.465
896	-3348.022	-1796.243
897	-3377.326	-1793.660
898	-3406.630	-1791.077
899	-3697.606	-1764.863
900	-3726.756	-1762.290
901	-3755.904	-1759.716
902	-3631.251	-1142.787
903	-3666.923	-1139.647
904	-3702.595	-1136.507
905	-3710.398	-1093.634
906	-3678.713	-1096.424
907	-3647.027	-1099.214
908	-3284.453	-762.305
909	-3286.860	-789.160
910	-4943.847	-2374.618
911	-4909.125	-2377.706
912	-4874.401	-2380.793
913	-4368.913	-2424.176
914	-4333.051	-2427.357
915	-4297.189	-2430.537
916	-4277.193	-2394.240
917	-4310.772	-2391.263
918	-4344.351	-2388.285
919	-4881.310	-2339.097
920	-4916.126	-2336.002
921	-4950.940	-2332.906
922	-4949.212	-2230.536
923	-4914.131	-2233.655
924	-4879.051	-2236.772
925	-4340.351	-2286.403
926	-4304.707	-2287.749
927	-4269.131	-2290.901
928	-4275.381	-2248.251
929	-4311.024	-2244.507
930	-4345.394	-2234.558
931	-4884.010	-2194.219
932	-4919.119	-2191.097
933	-4954.228	-2187.976
934	-4917.404	-2089.598
935	-4882.356	-2092.713
936	-4847.310	-2095.825
937	-4238.840	-2150.801
938	-4274.206	-2147.709
939	-4309.604	-2149.200
940	-4420.484	-1979.725
941	-4385.307	-1982.785
942	-4350.093	-1981.063
943	-4842.553	-1942.266
944	-4877.726	-1939.142
945	-4912.898	-1936.018
946	-4839.674	-1711.504
947	-4889.665	-1700.279
948	-4653.869	-1721.695
949	-4622.899	-1724.440
950	-4591.927	-1727.186
951	-4560.955	-1729.931
952	-4375.129	-1746.391
953	-4344.158	-1749.133
954	-4313.328	-1752.987
955	-4252.923	-1711.220
956	-4283.484	-1712.261
957	-4313.993	-1709.627
958	-4497.023	-1693.418
959	-4527.528	-1690.715
960	-4558.034	-1688.011
961	-4588.538	-1685.307
962	-4771.536	-1668.756
963	-4801.206	-1661.347
964	-4828.985	-1648.549
965	-4866.208	-1661.685
966	-4774.239	-1043.273
967	-4804.748	-1039.670
968	-4805.137	-996.442
969	-4770.375	-999.520
